epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.5047,1.68065,2.98818,2.06199,0.00333,1,0.73669,0.52996,0.56756,2.96004,1.50258,0.00012,0.00012,0.00012
2,2.39721,0.9395,2.37059,1.37529,0.00333,1,0.92667,0.6774,0.52039,2.92742,1.34475,0.000257426,0.000257426,0.000257426
3,3.1807,0.61757,1.45736,1.1861,0.00333,1,0.9675,0.84063,0.40909,2.56983,1.05214,0.00039208,0.00039208,0.00039208
4,3.94893,0.56833,1.12902,1.1207,1,0.9876,0.995,0.87377,0.53914,2.13446,1.18899,0.000523962,0.000523962,0.000523962
5,4.70118,0.58707,1.00879,1.12963,0.97265,1,0.995,0.88186,0.55606,2.21987,1.19628,0.000653072,0.000653072,0.000653072
6,5.45385,0.58139,1.02671,1.16903,0.99593,1,0.995,0.8929,0.56098,1.42793,1.26918,0.00077941,0.00077941,0.00077941
7,6.197,0.47448,0.96781,1.04312,0.996,1,0.995,0.92821,0.39896,1.40307,1.03335,0.000902976,0.000902976,0.000902976
8,6.95712,0.58893,1.03401,1.10535,0.99061,1,0.995,0.92846,0.39973,1.82237,0.97035,0.00102377,0.00102377,0.00102377
9,7.6965,0.61346,0.98505,1.1132,1,0.99939,0.995,0.89661,0.44304,1.9169,1.02406,0.00114179,0.00114179,0.00114179
10,8.42788,0.58159,0.98795,1.1341,0.99558,1,0.995,0.84713,0.66537,1.60256,1.2345,0.00125704,0.00125704,0.00125704
11,9.18449,0.6044,0.93804,1.0992,0.99596,1,0.995,0.92846,0.45633,1.45419,1.02861,0.00136952,0.00136952,0.00136952
12,9.9304,0.58388,0.93319,1.08497,0.97179,1,0.995,0.60214,1.19589,2.31568,1.77407,0.00147923,0.00147923,0.00147923
13,10.6653,0.60327,0.85399,1.0597,0.96945,1,0.995,0.7198,0.95059,1.98063,1.45217,0.00158616,0.00158616,0.00158616
14,11.3841,0.50582,0.80831,1.02714,0.96945,1,0.995,0.7198,0.95059,1.98063,1.45217,0.00169032,0.00169032,0.00169032
15,12.1258,0.57021,0.8205,1.07123,0.89356,1,0.995,0.87376,0.64156,1.66964,1.15944,0.0017228,0.0017228,0.0017228
16,12.8613,0.50124,0.82009,1.04318,0.9544,1,0.995,0.8927,0.46337,1.22632,1.06955,0.001703,0.001703,0.001703
17,13.5938,0.47849,0.76616,1.06893,0.97944,1,0.995,0.84226,0.51474,1.31333,1.11199,0.0016832,0.0016832,0.0016832
18,14.4163,0.52413,0.73522,1.04158,0.98874,1,0.995,0.87273,0.46623,1.1114,1.08003,0.0016634,0.0016634,0.0016634
19,15.1556,0.47899,0.75618,1.0344,0.9818,1,0.995,0.89566,0.5283,0.88164,1.16821,0.0016436,0.0016436,0.0016436
20,15.8906,0.50896,0.75136,1.05546,0.98951,1,0.995,0.90917,0.46277,0.97061,1.05324,0.0016238,0.0016238,0.0016238
21,16.6247,0.52848,0.73361,1.06177,0.94107,1,0.995,0.95596,0.40296,1.1466,0.98173,0.001604,0.001604,0.001604
22,17.3507,0.572,0.71519,1.0858,0.94107,1,0.995,0.95596,0.40296,1.1466,0.98173,0.0015842,0.0015842,0.0015842
23,18.0994,0.49619,0.65704,1.02901,0.97929,1,0.995,0.93921,0.3743,0.98392,0.96403,0.0015644,0.0015644,0.0015644
24,18.834,0.50606,0.67392,1.00986,0.99136,1,0.995,0.97041,0.35654,0.84404,0.94527,0.0015446,0.0015446,0.0015446
